mean,std,var,max,min,skewness,kurtosis,rms,abs_max,p25,p50,p75,energy,zcr,pga,pgv,rise_time,duration,spectral_centroid,bandwidth,spectral_entropy,spectral_flatness,roll_off,dominant_freq,filename,label
1344.948,5577.378,31107142.0,73217.0,-54877.0,0.1985626071691513,27.69964,5737.2495,73217.0,981.0,1382.0,1684.0,789984700000.0,0.021125,73217.0,322787.12,133.14,240.0,2.870305509534853,2.415759533753917,-223868025.6512702,0.00080605067,5.078125,0.78125,KC.TARG..HHZ_2024-01-28T09_50_29.367_2024-01-28T09_54_29.367.mseed,0
1376.1808,3440.8792,11839649.0,30540.0,-30980.0,-0.6144523620605469,15.437628,3705.8767,30980.0,1073.0,1384.0,1686.0,329604560000.0,0.021125,30980.0,330282.1,134.55,240.0,2.5193605333205213,2.6018186917664368,-81820685.84440112,0.00222033,4.6875,0.78125,KC.TARG..HHZ_2024-01-26T10_15_04.640_2024-01-26T10_19_04.640.mseed,0
1180.4271,8215.788,67499170.0,128761.0,-108056.0,0.1241099685430526,43.090843,8300.155,128761.0,973.75,1177.0,1397.0,1653422000000.0,0.03775,128761.0,283302.6,133.04,240.0,4.923781656325777,3.41928702904183,-554383288.8656282,0.0052813394,8.203125,3.90625,KC.TARG..HHZ_2024-02-18T08_57_33.029_2024-02-18T09_01_33.029.mseed,0
1332.0256,4861.1074,23630364.0,33514.0,-36243.0,-0.4404635429382324,14.581541,5040.3037,36243.0,1179.75,1332.0,1508.25,609711800000.0,0.025375,36243.0,319686.12,142.62,240.0,2.4215678617793936,2.475782360229043,-162990153.1361767,0.001324291,4.6875,0.390625,KC.TARG..HHZ_2024-02-26T12_27_00.181_2024-02-26T12_31_00.181.mseed,0
1362.6193,16040.294,257291040.0,216931.0,-169243.0,-0.0650775358080864,29.133652,16098.067,216931.0,964.0,1372.0,1736.0,6219547000000.0,0.0295416666666666,216931.0,327032.2,130.37,240.0,2.7491587892292406,2.5105943644369253,-2411919246.4054785,0.0017300626,4.6875,1.171875,KC.TARG..HHZ_2024-02-03T08_34_44.734_2024-02-03T08_38_44.734.mseed,0
1310.8403,7808.6636,60975228.0,74156.0,-80899.0,-0.5586262941360474,26.786345,7917.9253,80899.0,1138.0,1315.0,1524.0,1504645000000.0,0.0146666666666666,80899.0,314601.56,141.23,240.0,1.5685736166080837,1.3592325135893175,-535791598.3882532,0.0001259691,2.34375,0.78125,KC.TARG..HHZ_2024-02-15T03_39_51.038_2024-02-15T03_43_51.038.mseed,0
1299.2457,4473.9634,20016348.0,43932.0,-53261.0,-0.3772664666175842,20.35788,4658.7964,53261.0,1113.0,1298.0,1476.0,520905230000.0,0.0185833333333333,53261.0,311881.97,134.33,240.0,2.262420382870737,2.046522690374676,-144970771.16962066,0.00078545423,4.6875,1.5625,KC.TARG..HHZ_2024-02-26T17_44_20.169_2024-02-26T17_48_20.169.mseed,0
1375.362,2782.3335,7741380.0,37862.0,-28287.0,0.0601950287818908,25.341408,3103.7073,37862.0,1093.0,1369.5,1648.0,231191990000.0,0.0210833333333333,37862.0,330085.38,129.26,240.0,3.6310646280030583,2.717359905207465,-55585579.34408207,0.0026282114,5.46875,1.953125,KC.TARG..HHZ_2024-02-11T03_01_53.568_2024-02-11T03_05_53.568.mseed,0
1423.0895,4797.0015,23011222.0,45321.0,-34022.0,0.1812601238489151,16.360756,5003.6387,45321.0,906.0,1417.0,1884.0,600873600000.0,0.0224583333333333,45321.0,341591.9,139.4,240.0,2.8744178853261126,2.065933306748648,-171375227.41670388,0.00077317114,4.6875,3.125,KC.TARG..HHZ_2024-02-03T18_00_47.088_2024-02-03T18_04_47.088.mseed,0
1327.4937,3954.5889,15638774.0,46565.0,-38656.0,0.3506712913513183,23.425398,4171.452,46565.0,1157.0,1329.0,1505.0,417624300000.0,0.02525,46565.0,318599.1,132.0,240.0,3.9640486593343063,2.5983033420237045,-122200707.06165545,0.004147496,5.859375,4.296875,KC.TARG..HHZ_2024-02-27T14_16_13.857_2024-02-27T14_20_13.857.mseed,0
1417.416,9783.71,95720984.0,147187.0,-149201.0,-0.6930030584335327,40.72667,9885.851,149201.0,1228.75,1418.0,1624.25,2345521000000.0,0.02925,149201.0,340179.3,131.27,240.0,3.6484137569581816,2.929115676496608,-802511174.4024748,0.0036706352,5.859375,1.171875,KC.TARG..HHZ_2024-02-26T01_27_05.057_2024-02-26T01_31_05.057.mseed,0
1338.7728,4961.881,24620264.0,58610.0,-61096.0,0.1002637296915054,23.373407,5139.317,61096.0,916.0,1351.0,1742.0,633901800000.0,0.01825,61096.0,321410.38,131.62,240.0,2.7560447192854958,2.013298532315773,-197698113.4369931,0.00050058373,4.6875,0.78125,KC.TARG..HHZ_2024-01-30T03_50_51.903_2024-01-30T03_54_51.903.mseed,0
1360.9897,5422.8633,29407444.0,72522.0,-68674.0,-0.0861541405320167,24.550205,5591.041,72522.0,1094.0,1360.0,1603.0,750233700000.0,0.03625,72522.0,326637.1,134.24,240.0,4.508547376524339,3.385293101385036,-236997460.84155324,0.006465532,7.421875,2.34375,KC.TARG..HHZ_2024-01-26T12_03_55.026_2024-01-26T12_07_55.026.mseed,0
1356.971,766.2016,587064.9,10673.0,-7071.0,0.3653565645217895,22.043179,1558.3436,10673.0,1167.0,1356.0,1554.0,58282435000.0,0.0149166666666666,10673.0,325674.25,132.8,240.0,6.712803635847403,3.973783934014973,-3107566.8654299933,0.01058304,10.15625,5.078125,KC.TARG..HHZ_2024-01-29T04_20_05.371_2024-01-29T04_24_05.371.mseed,0
1063.228,591090.9,349388400000.0,4452774.0,-3394096.0,1.6790262460708618,21.76827,591091.8,4452774.0,-7350.25,1385.0,2080.0,8385348700000000.0,0.004625,4452774.0,3286387.8,140.67,240.0,0.3989908444244078,0.3280037363660352,-2314954430267.088,8.918996e-07,0.78125,0.390625,KC.TARG..HHZ_2024-01-29T22_25_57.797_2024-01-29T22_29_57.797.mseed,1
1376.2798,3274.8862,10724880.0,34660.0,-44651.0,-0.5718624591827393,25.9607,3552.327,44651.0,1081.0,1379.0,1682.25,302856630000.0,0.0205416666666666,44651.0,330306.28,135.01,240.0,2.985517397918359,2.635802131477003,-73230303.2274648,0.001895176,5.46875,0.390625,KC.TARG..HHZ_2024-01-26T10_35_03.608_2024-01-26T10_39_03.608.mseed,0
