filename,start_time,end_time,label
KC.TARG..HHZ_2024-01-28T09_50_29.367_2024-01-28T09_54_29.367.mseed,2024-01-28T09:52:30.440000,2024-01-28T09:52:46.670000,event
KC.TARG..HHZ_2024-01-26T10_15_04.640_2024-01-26T10_19_04.640.mseed,2024-01-26T10:17:04.620000,2024-01-26T10:17:29.740000,event
KC.TARG..HHZ_2024-02-18T08_57_33.029_2024-02-18T09_01_33.029.mseed,2024-02-18T08:59:31.400000,2024-02-18T08:59:50.500000,event
KC.TARG..HHZ_2024-02-26T12_27_00.181_2024-02-26T12_31_00.181.mseed,2024-02-26T12:28:59.070000,2024-02-26T12:29:08.830000,event
KC.TARG..HHZ_2024-02-26T12_27_00.181_2024-02-26T12_31_00.181.mseed,2024-02-26T12:29:13.380000,2024-02-26T12:29:24.570000,event
KC.TARG..HHZ_2024-02-03T08_34_44.734_2024-02-03T08_38_44.734.mseed,2024-02-03T08:36:43.790000,2024-02-03T08:37:02.140000,event
KC.TARG..HHZ_2024-02-15T03_39_51.038_2024-02-15T03_43_51.038.mseed,2024-02-15T03:41:49.940000,2024-02-15T03:41:55.500000,event
KC.TARG..HHZ_2024-02-15T03_39_51.038_2024-02-15T03_43_51.038.mseed,2024-02-15T03:42:04.240000,2024-02-15T03:42:13.630000,event
KC.TARG..HHZ_2024-02-26T17_44_20.169_2024-02-26T17_48_20.169.mseed,2024-02-26T17:46:19.930000,2024-02-26T17:46:29.380000,event
KC.TARG..HHZ_2024-02-26T17_44_20.169_2024-02-26T17_48_20.169.mseed,2024-02-26T17:46:32.840000,2024-02-26T17:46:40.990000,event
KC.TARG..HHZ_2024-02-11T03_01_53.568_2024-02-11T03_05_53.568.mseed,2024-02-11T03:03:50.560000,2024-02-11T03:03:59.270000,event
KC.TARG..HHZ_2024-02-11T03_01_53.568_2024-02-11T03_05_53.568.mseed,2024-02-11T03:04:02.830000,2024-02-11T03:04:07.320000,event
KC.TARG..HHZ_2024-02-03T18_00_47.088_2024-02-03T18_04_47.088.mseed,2024-02-03T18:02:45.450000,2024-02-03T18:02:52.050000,event
KC.TARG..HHZ_2024-02-27T14_16_13.857_2024-02-27T14_20_13.857.mseed,2024-02-27T14:18:13.820000,2024-02-27T14:18:18.090000,event
KC.TARG..HHZ_2024-02-27T14_16_13.857_2024-02-27T14_20_13.857.mseed,2024-02-27T14:18:24.580000,2024-02-27T14:18:30.170000,event
KC.TARG..HHZ_2024-02-26T01_27_05.057_2024-02-26T01_31_05.057.mseed,2024-02-26T01:29:05.030000,2024-02-26T01:29:20.860000,event
KC.TARG..HHZ_2024-01-30T03_50_51.903_2024-01-30T03_54_51.903.mseed,2024-01-30T03:52:50.890000,2024-01-30T03:52:55.190000,event
KC.TARG..HHZ_2024-01-30T03_50_51.903_2024-01-30T03_54_51.903.mseed,2024-01-30T03:53:03.570000,2024-01-30T03:53:07.440000,event
KC.TARG..HHZ_2024-01-26T12_03_55.026_2024-01-26T12_07_55.026.mseed,2024-01-26T12:05:54.590000,2024-01-26T12:06:13.130000,event
KC.TARG..HHZ_2024-01-29T04_20_05.371_2024-01-29T04_24_05.371.mseed,2024-01-29T04:22:05.340000,2024-01-29T04:22:23.930000,event
KC.TARG..HHZ_2024-01-29T22_25_57.797_2024-01-29T22_29_57.797.mseed,2024-01-29T22:27:56.690000,2024-01-29T22:28:07.390000,event
KC.TARG..HHZ_2024-01-29T22_25_57.797_2024-01-29T22_29_57.797.mseed,2024-01-29T22:28:14.160000,2024-01-29T22:28:16.090000,event
KC.TARG..HHZ_2024-01-29T22_25_57.797_2024-01-29T22_29_57.797.mseed,2024-01-29T22:28:18.620000,2024-01-29T22:28:20.590000,event
KC.TARG..HHZ_2024-01-29T22_25_57.797_2024-01-29T22_29_57.797.mseed,2024-01-29T22:29:14.150000,2024-01-29T22:29:19.220000,event
KC.TARG..HHZ_2024-01-29T22_25_57.797_2024-01-29T22_29_57.797.mseed,2024-01-29T22:29:47,2024-01-29T22:29:48.060000,event
KC.TARG..HHZ_2024-01-29T22_25_57.797_2024-01-29T22_29_57.797.mseed,2024-01-29T22:29:54,2024-01-29T22:29:56.870000,event
KC.TARG..HHZ_2024-01-26T10_35_03.608_2024-01-26T10_39_03.608.mseed,2024-01-26T10:37:04.990000,2024-01-26T10:37:13.640000,event
KC.TARG..HHZ_2024-01-26T10_35_03.608_2024-01-26T10_39_03.608.mseed,2024-01-26T10:37:17.040000,2024-01-26T10:37:23.970000,event
KC.TARG..HHZ_2024-02-26T17_54_14.826_2024-02-26T17_58_14.826.mseed,2024-02-26T17:56:16.720000,2024-02-26T17:56:25.350000,event
KC.TARG..HHZ_2024-02-26T17_54_14.826_2024-02-26T17_58_14.826.mseed,2024-02-26T17:56:29.220000,2024-02-26T17:56:41.090000,event
KC.TARG..HHZ_2024-02-06T01_47_44.849_2024-02-06T01_51_44.849.mseed,2024-02-06T01:49:44.130000,2024-02-06T01:50:00.110000,event
KC.TARG..HHZ_2024-01-29T21_01_39.708_2024-01-29T21_05_39.708.mseed,2024-01-29T21:03:39.190000,2024-01-29T21:03:45.490000,event
KC.TARG..HHZ_2024-01-29T21_01_39.708_2024-01-29T21_05_39.708.mseed,2024-01-29T21:04:52.800000,2024-01-29T21:04:53.910000,event
KC.TARG..HHZ_2024-01-30T01_43_14.513_2024-01-30T01_47_14.513.mseed,2024-01-30T01:45:12.970000,2024-01-30T01:45:30.070000,event
KC.TARG..HHZ_2024-01-29T01_49_57.366_2024-01-29T01_53_57.366.mseed,2024-01-29T01:52:07.020000,2024-01-29T01:52:13.430000,event
KC.TARG..HHZ_2024-02-11T04_55_28.565_2024-02-11T04_59_28.565.mseed,2024-02-11T04:57:26.820000,2024-02-11T04:57:44.150000,event
KC.TARG..HHZ_2024-02-03T13_42_54.386_2024-02-03T13_46_54.386.mseed,2024-02-03T13:44:52.910000,2024-02-03T13:44:58.580000,event
KC.TARG..HHZ_2024-02-03T13_42_54.386_2024-02-03T13_46_54.386.mseed,2024-02-03T13:45:07.280000,2024-02-03T13:45:16.830000,event
KC.TARG..HHZ_2024-01-26T15_58_46.044_2024-01-26T16_02_46.044.mseed,2024-01-26T16:00:46.160000,2024-01-26T16:00:53.020000,event
KC.TARG..HHZ_2024-01-26T15_58_46.044_2024-01-26T16_02_46.044.mseed,2024-01-26T16:00:58.080000,2024-01-26T16:01:03.760000,event
KC.TARG..HHZ_2024-01-26T02_24_22.830_2024-01-26T02_28_22.830.mseed,2024-01-26T02:26:21.690000,2024-01-26T02:26:40.770000,event
KC.TARG..HHZ_2024-02-15T06_27_09.961_2024-02-15T06_31_09.961.mseed,2024-02-15T06:29:12.830000,2024-02-15T06:29:30.050000,event
KC.TARG..HHZ_2024-01-25T22_36_25.753_2024-01-25T22_40_25.753.mseed,2024-01-25T22:38:24.960000,2024-01-25T22:38:33.780000,event
KC.TARG..HHZ_2024-01-29T04_03_37.838_2024-01-29T04_07_37.838.mseed,2024-01-29T04:05:36.630000,2024-01-29T04:05:47.520000,event
KC.TARG..HHZ_2024-02-07T08_53_44.967_2024-02-07T08_57_44.967.mseed,2024-02-07T08:55:44.560000,2024-02-07T08:56:04.830000,event
KC.TARG..HHZ_2024-01-27T09_01_19.701_2024-01-27T09_05_19.701.mseed,2024-01-27T09:03:19.160000,2024-01-27T09:03:26.270000,event
KC.TARG..HHZ_2024-02-23T04_06_50.707_2024-02-23T04_10_50.707.mseed,2024-02-23T04:08:51.100000,2024-02-23T04:08:54.830000,event
KC.TARG..HHZ_2024-02-23T04_06_50.707_2024-02-23T04_10_50.707.mseed,2024-02-23T04:09:03.180000,2024-02-23T04:09:07.640000,event
KC.TARG..HHZ_2024-01-26T01_12_50.107_2024-01-26T01_16_50.107.mseed,2024-01-26T01:14:48.700000,2024-01-26T01:14:53.560000,event
KC.TARG..HHZ_2024-01-26T01_12_50.107_2024-01-26T01_16_50.107.mseed,2024-01-26T01:15:01.260000,2024-01-26T01:15:06.590000,event
KC.TARG..HHZ_2024-01-26T00_15_48.471_2024-01-26T00_19_48.471.mseed,2024-01-26T00:17:46.600000,2024-01-26T00:17:55.990000,event
KC.TARG..HHZ_2024-01-26T00_15_48.471_2024-01-26T00_19_48.471.mseed,2024-01-26T00:17:59.770000,2024-01-26T00:18:06.600000,event
KC.TARG..HHZ_2024-01-30T03_43_24.802_2024-01-30T03_47_24.802.mseed,2024-01-30T03:45:26.040000,2024-01-30T03:45:30.480000,event
KC.TARG..HHZ_2024-02-21T07_02_22.083_2024-02-21T07_06_22.083.mseed,2024-02-21T07:04:21.580000,2024-02-21T07:04:28.850000,event
KC.TARG..HHZ_2024-02-21T07_02_22.083_2024-02-21T07_06_22.083.mseed,2024-02-21T07:04:40.650000,2024-02-21T07:04:45.410000,event
KC.TARG..HHZ_2024-01-25T08_58_18.033_2024-01-25T09_02_18.033.mseed,2024-01-25T09:00:17.040000,2024-01-25T09:00:38.200000,event
KC.TARG..HHZ_2024-01-29T23_15_23.084_2024-01-29T23_19_23.084.mseed,2024-01-29T23:17:22.330000,2024-01-29T23:17:44.200000,event
KC.TARG..HHZ_2024-01-29T23_29_09.137_2024-01-29T23_33_09.137.mseed,2024-01-29T23:30:39.190000,2024-01-29T23:30:42.750000,event
KC.TARG..HHZ_2024-01-29T23_29_09.137_2024-01-29T23_33_09.137.mseed,2024-01-29T23:31:08.550000,2024-01-29T23:31:15.100000,event
KC.TARG..HHZ_2024-01-29T23_29_09.137_2024-01-29T23_33_09.137.mseed,2024-01-29T23:31:21.050000,2024-01-29T23:31:29.250000,event
KC.TARG..HHZ_2024-02-12T15_51_07.215_2024-02-12T15_55_07.215.mseed,2024-02-12T15:53:06.400000,2024-02-12T15:53:23.800000,event
KC.TARG..HHZ_2024-02-15T03_50_56.699_2024-02-15T03_54_56.699.mseed,2024-02-15T03:52:56.070000,2024-02-15T03:53:13.950000,event
KC.TARG..HHZ_2024-02-03T13_24_43.265_2024-02-03T13_28_43.265.mseed,2024-02-03T13:26:42.020000,2024-02-03T13:26:48.790000,event
KC.TARG..HHZ_2024-02-03T13_24_43.265_2024-02-03T13_28_43.265.mseed,2024-02-03T13:26:54.020000,2024-02-03T13:27:02.790000,event
KC.TARG..HHZ_2024-01-27T05_27_59.890_2024-01-27T05_31_59.890.mseed,2024-01-27T05:30:03.430000,2024-01-27T05:30:23.940000,event
KC.TARG..HHZ_2024-01-27T05_27_59.890_2024-01-27T05_31_59.890.mseed,2024-01-27T05:30:30.390000,2024-01-27T05:30:38.460000,event
KC.TARG..HHZ_2024-01-27T00_35_37.174_2024-01-27T00_39_37.174.mseed,2024-01-27T00:37:35.860000,2024-01-27T00:37:42.050000,event
KC.TARG..HHZ_2024-01-26T08_16_15.375_2024-01-26T08_20_15.375.mseed,2024-01-26T08:18:13.810000,2024-01-26T08:18:19.030000,event
KC.TARG..HHZ_2024-01-26T08_16_15.375_2024-01-26T08_20_15.375.mseed,2024-01-26T08:18:25.400000,2024-01-26T08:18:31.380000,event
KC.TARG..HHZ_2024-01-26T11_39_02.201_2024-01-26T11_43_02.201.mseed,2024-01-26T11:41:01.190000,2024-01-26T11:41:10.360000,event
KC.TARG..HHZ_2024-01-26T11_39_02.201_2024-01-26T11_43_02.201.mseed,2024-01-26T11:41:14.040000,2024-01-26T11:41:28.740000,event
KC.TARG..HHZ_2024-02-21T18_24_59.426_2024-02-21T18_28_59.426.mseed,2024-02-21T18:26:59.550000,2024-02-21T18:27:17.080000,event
KC.TARG..HHZ_2024-01-26T01_53_30.094_2024-01-26T01_57_30.094.mseed,2024-01-26T01:55:28.660000,2024-01-26T01:55:38.890000,event
KC.TARG..HHZ_2024-02-26T14_18_41.521_2024-02-26T14_22_41.521.mseed,2024-02-26T14:20:40.750000,2024-02-26T14:20:57.520000,event
KC.TARG..HHZ_2024-02-04T01_17_15.333_2024-02-04T01_21_15.333.mseed,2024-02-04T01:19:12.890000,2024-02-04T01:19:40.680000,event
KC.TARG..HHZ_2024-01-31T19_19_42.729_2024-01-31T19_23_42.729.mseed,2024-01-31T19:21:41.830000,2024-01-31T19:21:49.260000,event
KC.TARG..HHZ_2024-01-31T19_19_42.729_2024-01-31T19_23_42.729.mseed,2024-01-31T19:21:53.020000,2024-01-31T19:21:59.890000,event
KC.TARG..HHZ_2024-02-03T16_33_03.399_2024-02-03T16_37_03.399.mseed,2024-02-03T16:35:01.610000,2024-02-03T16:35:06.370000,event
KC.TARG..HHZ_2024-02-03T16_33_03.399_2024-02-03T16_37_03.399.mseed,2024-02-03T16:35:16.520000,2024-02-03T16:35:19.970000,event
KC.TARG..HHZ_2024-02-03T16_33_03.399_2024-02-03T16_37_03.399.mseed,2024-02-03T16:35:21.020000,2024-02-03T16:35:24.540000,event
KC.TARG..HHZ_2024-02-03T16_33_03.399_2024-02-03T16_37_03.399.mseed,2024-02-03T16:37:01.140000,2024-02-03T16:37:03.370000,event
KC.TARG..HHZ_2024-02-23T10_31_21.930_2024-02-23T10_35_21.930.mseed,2024-02-23T10:33:21.840000,2024-02-23T10:33:30.530000,event
KC.TARG..HHZ_2024-02-23T10_31_21.930_2024-02-23T10_35_21.930.mseed,2024-02-23T10:33:32.860000,2024-02-23T10:33:37.180000,event
KC.TARG..HHZ_2024-02-25T04_13_13.963_2024-02-25T04_17_13.963.mseed,2024-02-25T04:15:12.910000,2024-02-25T04:15:18.130000,event
KC.TARG..HHZ_2024-02-25T04_13_13.963_2024-02-25T04_17_13.963.mseed,2024-02-25T04:15:25.080000,2024-02-25T04:15:33.150000,event
KC.TARG..HHZ_2024-02-23T22_57_13.177_2024-02-23T23_01_13.177.mseed,2024-02-23T22:59:11.250000,2024-02-23T22:59:16.410000,event
KC.TARG..HHZ_2024-02-23T22_57_13.177_2024-02-23T23_01_13.177.mseed,2024-02-23T22:59:23.270000,2024-02-23T22:59:29.550000,event
KC.TARG..HHZ_2024-01-25T19_59_45.131_2024-01-25T20_03_45.131.mseed,2024-01-25T20:01:45.210000,2024-01-25T20:01:52.640000,event
KC.TARG..HHZ_2024-01-25T19_59_45.131_2024-01-25T20_03_45.131.mseed,2024-01-25T20:01:57.580000,2024-01-25T20:02:04.010000,event
KC.TARG..HHZ_2024-02-28T01_16_06.231_2024-02-28T01_20_06.231.mseed,2024-02-28T01:18:14.150000,2024-02-28T01:18:20.050000,event
KC.TARG..HHZ_2024-01-22T18_12_30.954_2024-01-22T18_16_30.954.mseed,2024-01-22T18:12:47.330000,2024-01-22T18:12:49.360000,event
KC.TARG..HHZ_2024-01-22T18_12_30.954_2024-01-22T18_16_30.954.mseed,2024-01-22T18:13:10.570000,2024-01-22T18:13:14,event
KC.TARG..HHZ_2024-01-22T18_12_30.954_2024-01-22T18_16_30.954.mseed,2024-01-22T18:13:19.540000,2024-01-22T18:13:21.070000,event
KC.TARG..HHZ_2024-01-22T18_12_30.954_2024-01-22T18_16_30.954.mseed,2024-01-22T18:13:46.800000,2024-01-22T18:13:49.220000,event
KC.TARG..HHZ_2024-01-22T18_12_30.954_2024-01-22T18_16_30.954.mseed,2024-01-22T18:14:10.240000,2024-01-22T18:14:12.250000,event
KC.TARG..HHZ_2024-01-22T18_12_30.954_2024-01-22T18_16_30.954.mseed,2024-01-22T18:14:15.420000,2024-01-22T18:14:16.800000,event
KC.TARG..HHZ_2024-01-22T18_12_30.954_2024-01-22T18_16_30.954.mseed,2024-01-22T18:14:21.710000,2024-01-22T18:14:23.210000,event
KC.TARG..HHZ_2024-01-22T18_12_30.954_2024-01-22T18_16_30.954.mseed,2024-01-22T18:14:31.780000,2024-01-22T18:14:34.870000,event
KC.TARG..HHZ_2024-01-22T18_12_30.954_2024-01-22T18_16_30.954.mseed,2024-01-22T18:14:47.300000,2024-01-22T18:14:49.640000,event
KC.TARG..HHZ_2024-01-22T18_12_30.954_2024-01-22T18_16_30.954.mseed,2024-01-22T18:15:46.690000,2024-01-22T18:15:52.240000,event
KC.TARG..HHZ_2024-01-22T18_12_30.954_2024-01-22T18_16_30.954.mseed,2024-01-22T18:16:07.690000,2024-01-22T18:16:10.230000,event
KC.TARG..HHZ_2024-01-23T00_20_45.455_2024-01-23T00_24_45.455.mseed,2024-01-23T00:22:45.150000,2024-01-23T00:23:02.910000,event
KC.TARG..HHZ_2024-01-24T04_56_43.913_2024-01-24T05_00_43.913.mseed,2024-01-24T04:58:42.270000,2024-01-24T04:58:48.990000,event
KC.TARG..HHZ_2024-01-23T11_05_21.964_2024-01-23T11_09_21.964.mseed,2024-01-23T11:07:21.960000,2024-01-23T11:07:29.740000,event
KC.TARG..HHZ_2024-01-23T11_05_21.964_2024-01-23T11_09_21.964.mseed,2024-01-23T11:07:34.020000,2024-01-23T11:07:37.900000,event
KC.TARG..HHZ_2024-01-24T21_48_26.965_2024-01-24T21_52_26.965.mseed,2024-01-24T21:50:25.630000,2024-01-24T21:50:32.250000,event
KC.TARG..HHZ_2024-01-24T21_48_26.965_2024-01-24T21_52_26.965.mseed,2024-01-24T21:50:37.680000,2024-01-24T21:50:44.040000,event
KC.TARG..HHZ_2023-04-11T17_06_38.894_2023-04-11T17_10_38.894.mseed,2023-04-11T17:08:34.030000,2023-04-11T17:08:46.800000,event
KC.TARG..HHZ_2024-01-23T01_56_48.130_2024-01-23T02_00_48.130.mseed,2024-01-23T01:58:48.620000,2024-01-23T01:58:54.990000,event
KC.TARG..HHZ_2024-01-23T19_18_35.551_2024-01-23T19_22_35.551.mseed,2024-01-23T19:20:33.770000,2024-01-23T19:20:50.690000,event
KC.TARG..HHZ_2024-01-23T13_45_33.096_2024-01-23T13_49_33.096.mseed,2024-01-23T13:47:32.800000,2024-01-23T13:47:50.280000,event
KC.TARG..HHZ_2024-01-24T15_02_32.405_2024-01-24T15_06_32.405.mseed,2024-01-24T15:04:31.870000,2024-01-24T15:04:35.790000,event
KC.TARG..HHZ_2024-01-24T15_02_32.405_2024-01-24T15_06_32.405.mseed,2024-01-24T15:04:43.790000,2024-01-24T15:04:48.320000,event
KC.TARG..HHZ_2024-01-22T22_18_19.987_2024-01-22T22_22_19.987.mseed,2024-01-22T22:20:17.710000,2024-01-22T22:20:23.070000,event
KC.TARG..HHZ_2024-01-22T22_18_19.987_2024-01-22T22_22_19.987.mseed,2024-01-22T22:20:29.340000,2024-01-22T22:20:36.610000,event
