filename,label,triggers
KC.TARG..HHZ_2024-01-28T09_50_29.367_2024-01-28T09_54_29.367.mseed,1,"[[3650, 4218], [11997, 13736]]"
KC.TARG..HHZ_2024-01-26T10_15_04.640_2024-01-26T10_19_04.640.mseed,1,"[[8355, 8933], [9096, 9881], [10273, 10625], [11922, 13167], [13259, 13914]]"
KC.TARG..HHZ_2024-02-18T08_57_33.029_2024-02-18T09_01_33.029.mseed,1,"[[11799, 13754]]"
KC.TARG..HHZ_2024-02-26T12_27_00.181_2024-02-26T12_31_00.181.mseed,1,"[[2523, 3480], [5165, 5938], [6116, 6863], [11806, 12882], [13242, 14077]]"
KC.TARG..HHZ_2024-02-03T08_34_44.734_2024-02-03T08_38_44.734.mseed,1,"[[2433, 3009], [11901, 12585], [13012, 13741]]"
KC.TARG..HHZ_2024-02-15T03_39_51.038_2024-02-15T03_43_51.038.mseed,1,"[[4038, 4205], [11875, 12559], [13185, 13741], [13810, 14305]]"
KC.TARG..HHZ_2024-02-26T17_44_20.169_2024-02-26T17_48_20.169.mseed,1,"[[6524, 8203], [11909, 12985], [13248, 13709]]"
KC.TARG..HHZ_2024-02-11T03_01_53.568_2024-02-11T03_05_53.568.mseed,1,"[[11676, 12570], [12897, 13349]]"
KC.TARG..HHZ_2024-02-03T18_00_47.088_2024-02-03T18_04_47.088.mseed,1,"[[11809, 12508], [13091, 13708]]"
KC.TARG..HHZ_2024-02-27T14_16_13.857_2024-02-27T14_20_13.857.mseed,1,"[[3391, 3915], [11981, 12429], [13050, 13416]]"
KC.TARG..HHZ_2024-02-26T01_27_05.057_2024-02-26T01_31_05.057.mseed,1,"[[5040, 6667], [11993, 13554]]"
KC.TARG..HHZ_2024-01-30T03_50_51.903_2024-01-30T03_54_51.903.mseed,1,"[[3070, 4102], [11670, 12358], [13165, 13539]]"
KC.TARG..HHZ_2024-01-26T12_03_55.026_2024-01-26T12_07_55.026.mseed,1,"[[5705, 6159], [10896, 11266], [11886, 13798]]"
KC.TARG..HHZ_2024-01-29T04_20_05.371_2024-01-29T04_24_05.371.mseed,1,"[[11937, 12618], [13331, 13528]]"
KC.TARG..HHZ_2024-01-29T22_25_57.797_2024-01-29T22_29_57.797.mseed,1,"[[11878, 13090], [13385, 13555]]"
KC.TARG..HHZ_2024-01-26T10_35_03.608_2024-01-26T10_39_03.608.mseed,1,"[[2856, 3108], [6006, 6669], [7409, 7862], [11554, 13907]]"
KC.TARG..HHZ_2024-02-26T17_54_14.826_2024-02-26T17_58_14.826.mseed,1,"[[12013, 13021], [13369, 13780]]"
KC.TARG..HHZ_2024-02-06T01_47_44.849_2024-02-06T01_51_44.849.mseed,1,"[[11907, 12435], [12790, 13516]]"
KC.TARG..HHZ_2024-01-29T21_01_39.708_2024-01-29T21_05_39.708.mseed,1,"[[11943, 12480], [13309, 13971]]"
KC.TARG..HHZ_2024-01-30T01_43_14.513_2024-01-30T01_47_14.513.mseed,1,"[[2327, 2662], [5204, 5583], [8731, 9108], [9784, 10134], [11481, 13565]]"
KC.TARG..HHZ_2024-01-29T01_49_57.366_2024-01-29T01_53_57.366.mseed,1,"[[8885, 9371], [10581, 10771], [11705, 13488], [23048, 23999]]"
KC.TARG..HHZ_2024-02-11T04_55_28.565_2024-02-11T04_59_28.565.mseed,1,"[[10036, 10925], [11813, 13587]]"
KC.TARG..HHZ_2024-02-03T13_42_54.386_2024-02-03T13_46_54.386.mseed,1,"[[4037, 5553], [11830, 12480], [13252, 13610]]"
KC.TARG..HHZ_2024-01-26T15_58_46.044_2024-01-26T16_02_46.044.mseed,1,"[[4253, 4590], [6683, 7306], [7999, 8254], [11996, 12716], [13207, 13757]]"
KC.TARG..HHZ_2024-01-26T02_24_22.830_2024-01-26T02_28_22.830.mseed,1,"[[11827, 13693]]"
KC.TARG..HHZ_2024-02-15T06_27_09.961_2024-02-15T06_31_09.961.mseed,1,"[[5428, 6232], [6717, 7003], [10079, 10630], [12086, 13273], [13535, 14035]]"
KC.TARG..HHZ_2024-01-25T22_36_25.753_2024-01-25T22_40_25.753.mseed,1,"[[2891, 3380], [11907, 12930], [13258, 13613], [13736, 13911]]"
KC.TARG..HHZ_2024-01-29T04_03_37.838_2024-01-29T04_07_37.838.mseed,1,"[[8435, 9260], [9688, 10062], [11866, 12947]]"
KC.TARG..HHZ_2024-02-07T08_53_44.967_2024-02-07T08_57_44.967.mseed,1,"[[11920, 13722]]"
KC.TARG..HHZ_2024-01-27T09_01_19.701_2024-01-27T09_05_19.701.mseed,1,"[[5040, 6724], [11923, 12665]]"
KC.TARG..HHZ_2024-02-23T04_06_50.707_2024-02-23T04_10_50.707.mseed,1,"[[4627, 4893], [7828, 8132], [10713, 10922], [12033, 12428], [13244, 13699]]"
KC.TARG..HHZ_2024-01-26T01_12_50.107_2024-01-26T01_16_50.107.mseed,1,"[[2350, 3005], [3582, 4076], [7878, 8261], [9006, 9459], [11848, 12358], [13075, 13613]]"
KC.TARG..HHZ_2024-01-26T00_15_48.471_2024-01-26T00_19_48.471.mseed,1,"[[3133, 4181], [4469, 4704], [11795, 13525]]"
KC.TARG..HHZ_2024-01-30T03_43_24.802_2024-01-30T03_47_24.802.mseed,1,"[[7516, 7943], [8703, 8953], [11935, 13786]]"
KC.TARG..HHZ_2024-02-21T07_02_22.083_2024-02-21T07_06_22.083.mseed,1,"[[1999, 2868], [6424, 7142], [7571, 7958], [11885, 12678], [13853, 14141]]"
KC.TARG..HHZ_2024-01-25T08_58_18.033_2024-01-25T09_02_18.033.mseed,1,"[[3406, 3775], [5746, 6591], [7000, 7548], [11819, 12802], [13099, 13672], [13734, 14028]]"
KC.TARG..HHZ_2024-01-29T23_15_23.084_2024-01-29T23_19_23.084.mseed,1,"[[11862, 13930]]"
KC.TARG..HHZ_2024-01-29T23_29_09.137_2024-01-29T23_33_09.137.mseed,1,"[[5413, 6132], [6663, 7035], [11931, 12602], [13146, 13763]]"
KC.TARG..HHZ_2024-02-12T15_51_07.215_2024-02-12T15_55_07.215.mseed,1,"[[11913, 13560]]"
KC.TARG..HHZ_2024-02-15T03_50_56.699_2024-02-15T03_54_56.699.mseed,1,"[[11914, 13730]]"
KC.TARG..HHZ_2024-02-03T13_24_43.265_2024-02-03T13_28_43.265.mseed,1,"[[10074, 11475], [11862, 12563], [13079, 13698], [21118, 21218]]"
KC.TARG..HHZ_2024-01-27T05_27_59.890_2024-01-27T05_31_59.890.mseed,1,"[[11992, 13313], [15026, 15858]]"
KC.TARG..HHZ_2024-01-27T00_35_37.174_2024-01-27T00_39_37.174.mseed,1,"[[5134, 5840], [6941, 7415], [8111, 8740], [9335, 9686], [11850, 12601], [13270, 13417]]"
KC.TARG..HHZ_2024-01-26T08_16_15.375_2024-01-26T08_20_15.375.mseed,1,"[[11833, 13540]]"
KC.TARG..HHZ_2024-01-26T11_39_02.201_2024-01-26T11_43_02.201.mseed,1,"[[2016, 2537], [2606, 3740], [3898, 4318], [11025, 11332], [11799, 12798], [13185, 13835]]"
KC.TARG..HHZ_2024-02-21T18_24_59.426_2024-02-21T18_28_59.426.mseed,1,"[[11998, 13702]]"
KC.TARG..HHZ_2024-01-26T01_53_30.094_2024-01-26T01_57_30.094.mseed,1,"[[10611, 12510], [13118, 13664]]"
